Problem,Heuristic,Algorithm,Goal Tests,Nodes Expanded,Nodes Evaluated,Solution Cost,Runtime (Seconds)
p34,Distance Improved Blocking Vehicles,IDA*,110577.0,677808.0,115996.0,71,279.304
p35,Zero,BFS,3908.0,23020.0,0.0,75,8.5397
p35,Zero,DFS,6137.0,30606.0,0.0,818,12.2986
p35,Zero,A*,3901.0,22963.0,3970.0,75,8.7233
p35,Manhattan Distance,A*,3855.0,22712.0,3912.0,75,8.6268
p35,Blocking Vehicles,A*,3844.0,22643.0,3891.0,75,8.8463
p35,Improved Blocking Vehicles,A*,3828.0,22571.0,3872.0,75,9.0137
p35,Distance Improved Blocking Vehicles,A*,3819.0,22509.0,3856.0,75,8.9251
p35,Zero,IDA*,158090.0,917246.0,162079.0,75,350.429
p35,Manhattan Distance,IDA*,143818.0,831606.0,147744.0,75,317.64
p35,Blocking Vehicles,IDA*,147479.0,852985.0,152092.0,75,340.754
p35,Improved Blocking Vehicles,IDA*,143539.0,830055.0,148287.0,75,325.954
p35,Distance Improved Blocking Vehicles,IDA*,129599.0,746051.0,134319.0,75,295.697
p36,Zero,BFS,930.0,6438.0,0.0,Failed,2.4874
p36,Zero,DFS,33479.0,229131.0,0.0,Failed,95.3851
p36,Zero,A*,930.0,6438.0,930.0,Failed,2.6173
p36,Manhattan Distance,A*,930.0,6438.0,930.0,Failed,2.5886
p36,Blocking Vehicles,A*,930.0,6438.0,930.0,Failed,2.588
p36,Improved Blocking Vehicles,A*,930.0,6438.0,930.0,Failed,2.6408
p36,Distance Improved Blocking Vehicles,A*,930.0,6438.0,0.0,Failed,2.4609
p36,Zero,IDA*,inf,inf,inf,Failed,inf
p36,Manhattan Distance,IDA*,inf,inf,inf,Failed,inf
p36,Blocking Vehicles,IDA*,inf,inf,inf,Failed,inf
p36,Improved Blocking Vehicles,IDA*,inf,inf,inf,Failed,inf
p36,Distance Improved Blocking Vehicles,IDA*,inf,inf,inf,Failed,inf
p37,Zero,BFS,1951.0,12507.0,0.0,65,5.2264
p37,Zero,DFS,9721.0,63900.0,0.0,402,27.4135
p37,Zero,A*,1950.0,12501.0,1955.0,65,5.2535
p37,Manhattan Distance,A*,1936.0,12429.0,1950.0,65,5.235
p37,Blocking Vehicles,A*,1945.0,12483.0,1951.0,65,5.4376
p37,Improved Blocking Vehicles,A*,1949.0,12503.0,1955.0,65,5.4124
p37,Distance Improved Blocking Vehicles,A*,1906.0,12231.0,1950.0,65,5.3043
p37,Zero,IDA*,42010.0,252544.0,43966.0,65,104.702
p37,Manhattan Distance,IDA*,35850.0,212664.0,37818.0,65,87.2393
p37,Blocking Vehicles,IDA*,36694.0,217997.0,38670.0,65,91.756
p37,Improved Blocking Vehicles,IDA*,35975.0,214084.0,37995.0,65,90.5507
p37,Distance Improved Blocking Vehicles,IDA*,29940.0,174734.0,31996.0,65,74.3291
p38,Zero,BFS,3942.0,22128.0,0.0,77,7.9613
p38,Zero,DFS,4614.0,22720.0,0.0,743,8.898
p38,Zero,A*,3913.0,21869.0,4028.0,77,8.4854
p38,Manhattan Distance,A*,3402.0,18881.0,3562.0,77,7.4364
p38,Blocking Vehicles,A*,3610.0,20189.0,3784.0,77,8.0159
p38,Improved Blocking Vehicles,A*,3605.0,20161.0,3785.0,77,8.0111
p38,Distance Improved Blocking Vehicles,A*,3181.0,17597.0,3352.0,77,6.7948
p38,Zero,IDA*,86400.0,479862.0,90501.0,77,181.458
p38,Manhattan Distance,IDA*,73353.0,405050.0,77109.0,77,154.233
p38,Blocking Vehicles,IDA*,77854.0,430749.0,82097.0,77,172.688
p38,Improved Blocking Vehicles,IDA*,76772.0,424638.0,81207.0,77,167.715
p38,Distance Improved Blocking Vehicles,IDA*,64769.0,355783.0,68700.0,77,142.498
p39,Zero,BFS,3892.0,20864.0,0.0,82,8.2664
p39,Zero,DFS,27798.0,170406.0,0.0,732,71.6572
p39,Zero,A*,3875.0,20747.0,4000.0,82,8.0677
p39,Manhattan Distance,A*,3744.0,19991.0,3861.0,82,7.7473
p39,Blocking Vehicles,A*,3766.0,20042.0,3860.0,82,8.0061
p39,Improved Blocking Vehicles,A*,3762.0,20018.0,3856.0,82,8.0034
p39,Distance Improved Blocking Vehicles,A*,3610.0,19196.0,3696.0,82,7.7019
p39,Zero,IDA*,163747.0,897052.0,167806.0,82,362.94
p39,Manhattan Distance,IDA*,152456.0,836537.0,156482.0,82,337.77
p39,Blocking Vehicles,IDA*,156412.0,856845.0,160550.0,82,355.845
p39,Improved Blocking Vehicles,IDA*,154848.0,848362.0,159206.0,82,353.438
p39,Distance Improved Blocking Vehicles,IDA*,143833.0,789269.0,148143.0,82,326.86
p40,Zero,BFS,30.0,118.0,0.0,Failed,0.0499
p40,Zero,DFS,56.0,222.0,0.0,Failed,0.0926
p40,Zero,A*,30.0,118.0,30.0,Failed,0.0508
p40,Manhattan Distance,A*,30.0,118.0,30.0,Failed,0.0491
p40,Blocking Vehicles,A*,30.0,118.0,30.0,Failed,0.05
p40,Improved Blocking Vehicles,A*,30.0,118.0,30.0,Failed,0.051
p40,Distance Improved Blocking Vehicles,A*,30.0,118.0,30.0,Failed,0.0498
p40,Zero,IDA*,inf,inf,inf,Failed,inf
p40,Manhattan Distance,IDA*,inf,inf,inf,Failed,inf
p40,Blocking Vehicles,IDA*,inf,inf,inf,Failed,inf
p40,Improved Blocking Vehicles,IDA*,inf,inf,inf,Failed,inf
p40,Distance Improved Blocking Vehicles,IDA*,inf,inf,inf,Failed,inf
